Government	transparency	Government transparency enables the public to hold the government accountable for how they spend their money.
authorities	transparency	Beijing has encouraged regional authorities to introduce sunshine policies that tackle corruption through increased transparency.
temper	hot	He has a hot temper.
rage	burning	He's burning with rage.
remarks	inflammatory	Those are inflammatory remarks.
anger	consumed	He was consumed by his anger.
poverty	oceans	WE CANNOT HAVE ISLANDS OF PROSPERITY NEXT TO OCEANS OF POVERTY AND SQUALOR
guns	flood	flood of guns
violence	flood	We have not found a way to stem this rising flood of gun violence.
violence	ocean	We are drowning in an ocean of gun violence.
life	path	He started going down a bad life path.
remark	impenetrable	That remark is completely impenetrable.
parts	possesses	The eye possesses several parts.
part	belongs	Which car part belongs to which car?
bureaucracy	hum	Despite the debt crisis, the welfare bureaucracy continued to hum along, producing checks every month.
human	cost	The human cost of that disaster is enormous.
voters	spoken	The voters of Dillon have clearly spoken.
view	full	The island is now in full view.
trust	rebuild	We are working hard to rebuild the trust of our customers.
trust	foundations	The scandals have shaken the foundations of trust in the market.
trust	collapsed	It is how, in every Western country, trust in government has suddenly, dramatically collapsed in the crisis' aftermath.
morning	full	My morning has been very full.
day	spent	We spent all day at the fair.
time	theft	Time-theft
time	flow	The flow of time
days	sands	Like sands through the hourglass, so are the days of our lives.
time	valuable	Our time is valuable.
time	flies	Time flies.
time	come	The time will come when…
time	gone	The time has long since gone when…
time	arrived	The time for action has arrived.
time	back	You can't go back in time!
future	ahead	We're looking ahead to the future.
future	front	He has a great future in front of him.
time	waste	Don't waste your time.
hear	think	I can barely hear myself think.
thinker	articulate	He's an articulate thinker.
conscience	listen	She doesn't listen to her conscience.
ideas	toss	Let's toss some ideas around.
mind	read	I can't read her mind.
intentions	misread	I misread his intentions.
factors	interconnected	Her theory requires the reader to understand  many interconnected factors.
theory	dismantle	Opponents tried to dismantle the theory piece by piece.
theory	foundation	This theory has a solid foundation.
framework	filled	The theoretical framework needs to be filled in with empirical data.
control	lost	The dummies were 2-to-1 in favor of the Arizona immigration law; the court gutted it. Only those dummies, not in a state of denial, understand that we the people have lost control of our government.
control	gave	But meanwhile, you may not have noticed that our government gave away control of the Internet.
taxes	disease	"During a panel discussion that included Washington Governor Christine Gregoire and Nevada Governor Brian Sandoval, Brown accused California lawmakers of adhering to ""the notion that taxes are like some kind of sexually transmitted disease,"" the Los Angeles Times reports."
taxes	infect	Those insidious taxes infect every aspect of our lives.
taxes	steals	Government steals the people's wealth through overt and hidden taxes
tax	slaves	America Tax Slaves Work 6.5 Months Every Year to Pay for Government
taxation	punishes	The state cannot pay its bills and poorly educates its young, and its taxation punishes whatever success that its suffocating regulatory regime does not prevent.
taxes	hurt	High sales taxes hurt local small businesses.
taxed	death	We are being taxed to death!
tax	burden	According to the Tax Foundation, Texas residents on average shoulder the fifth lowest tax burden compared to other residents in the 50 states.
tax plan	heavy load	"The Obama campaign is taking a swipe at Mitt Romney's tax plan in a new television ad, saying it will create a ""heavy load"" for the middle class."
taxes	heavy	President Obama decided to target certain and specific products or services he deems unhealthy and levied heavy taxes on them.
taxes	impose	Remember when President Obama literally laughed out loud at the idea his health-care plan would impose taxes on the middle class?
tax	burden	The new president delivered on his tax cut promises, which, combined with a recession in 2001, caused the tax burden to fall considerably.
taxes	burdensome	New Taxes Burdensome for Farm and Ranch Families
control	under	He is under my control.
power	fell	He fell from power.
power	decline	His power is on the decline.
status	fell	She fell in status.
social	climber	He's a social climber.
career	plateau	I reached a plateau in my career some years back.
independence	steps	East Timor took the first steps toward independence in the 1990s.
recession	moving	The country is slowly moving out of recession.
society	suffering	Our society is suffering from many social problems.
society	part	Functionalism interprets each part of society in terms of how it contributes to the stability of the whole society. Society is more than the sum of its parts; rather, ...
social	ills	A cure for social ills? Prevention
problem	curing	UW researcher is a leader in showing how prevention techniques can pay off in curing social problems.
dishonesty	gangrene	Our society is turning gangrene with dishonesty.
business	growing	My business is growing like a weed.
friends	circle	Our circle of friends is quite diverse.
group	penetrated	He's hasn't penetrated that group.
establishment	foundations	He's about to rock the foundations of the literary establishment with his novel.
queues	building	By early afternoon, queues were already building up.
social	fabric	Cop scandals fray the social fabric.
color	near	Her hair is very near to his in color.
perfect	far	That's far from a perfect circle.
customs	adopted	They adopted the customs of their neighbors.
meaning	looking for	He's looking for meaning in his life and isn't finding any.
horizon	scoured	His eyes scoured the horizon.
temperature	shot up	The temperature shot up.
consumption	rose	Fuel consumption rose to the highest it has been in 20 years.
spirits	sank	My spirits sank.
relationship	veering	Our relationship is veering off-course.
relationship	going	It feels like this relationship is going nowhere.
dictatorship	toppled	The coup toppled the brutal dictatorship.
Europe	structure	The Revolutionary and Napoleonic Wars tore down the ancient structure of Europe
relationship	built	Their relationship is built on a solid foundation of trust and commitment.
relationship	solid	Our relationship is rock solid.
relationship	fragile	She has a fragile relationship with her mother as it is.
relationship	build	It takes work to build any relationship.
related	closely	These ideas are closely related.
legislation	prune	I concede that it has become indispensable to prune legislation, but it seems to me that this must be done with prudence and thought.
income	fell	His income fell last year.
bank account	size	What is the size of your bank account?
debt	big	He doesn't know how big our national debt is.
solving	approach	We are trying to find the most elegant approach to solving this problem.
dissertation	strides	She made great strides in her dissertation.
soul	scrubbed clean	Her soul was scrubbed clean of impurities.
soul	cleanse	You must cleanse your soul of sin.
impure	washed	The impure must be washed clean through contrition.
accusation	wounded	The accusation wounded her.
pride	wounded	My pride was wounded.
psyche	wound	She recovered from the wound to her psyche, but scars remained.
life	peaks	Life is full of peaks and valleys.
writing	headway	He hadn't made much headway in writing the termpaper.
bill	move forward	House Republicans blocked the Democrats' attempts to move forward with the healthcare bill.
bill	passage	The Senator's filibuster halted the passage of the bill.
ideas	half-baked	They're just half-baked ideas.
facts	raw	Just give me the raw facts.
power	holds	He holds all the power.
poverty	vines	We are not free from the creeping vines of poverty.
poverty	weeds	Mother Martha is working to loosen the strangling weeds of poverty and watching children blossom and thrive under her care.
poverty	chained	Though politically the country is free, its people remain chained by poverty.
poverty	epidemic	The epidemic of poverty is spreading in America, and it's taking its toll on American families.
poverty	symptoms	As President Obama has said, we can't treat the symptoms of poverty in isolation.
poverty	crime	He appealed to logos (logic) by trying to analyze why poverty is a crime and tries to differentiate it from being poor.
revolution	wildfire	The wildfire of revolution rapidly spread throughout the land.
state	ship	They are rocking the ship of state.
state	ship	Dirt threatens to sink ship of state
strength	declined	His strength declined as he aged.
Election	race	As Election Day drew near, the candidates pulled into the final lap of the race.
Campaign	Race	Last Legs of Campaign Can Decide Race
campaigning	leg	How both candidates fair in the final leg of campaigning will likely determine the winner in each state.
man	green	The young man is rather green and does not have enough experience to drive the large machinery.
woman	withered	We saw the withered old woman.
panic	sustanance	Incurable sex offenders, lousy judges and the new media: Moral panic sustenance in the age of new media
defense	fell apart	The Lakers' defense fell apart in the final quarter leading to an embarrassing upset.
opportunity	door	Opportunity is an open door.
opportunity	paths	His job offer opened up new paths of opportunity for him.
opportunity	squandered	I've squandered every opportunity to advance my career.
