#source	#target	#sentence
sharks	lawyers	lawyers are real sharks.
glimmer	hope	the clouds were a glimmer of hope that rain might come.
body	mind	the mind is a body.
builder	mind	the mind is a builder.
fighter	mind	the mind is a fighter.
landmark	mind	the mind is a landmark.
machine	mind	the mind is a machine.
traveler	mind	the mind is a traveler.
pursuer	mind	the mind is pursuer.
eye	mind	the mind is an eye.
captor	past	the past is a captor.
heat	anger	anger is heat.
setback	career	her accident was an enormous setback to her career.
guide	evidence	evidence is a guide in the search.
obstacle	segregation	public school segregation was an obstacle in attaining civil rights.
